00:59:47 INF [TCP] connected lAddr=127.0.0.1:60328 rAddr=t.captcha.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
00:59:47 INF [TCP] connected lAddr=127.0.0.1:60324 rAddr=t.captcha.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
00:59:49 INF [TCP] connected lAddr=127.0.0.1:60340 rAddr=qqminiapp.cdn-go.cn:443 mode=rule rule=DomainSuffix(cn) proxy=DIRECT
00:59:49 INF [TCP] connected lAddr=127.0.0.1:55662 rAddr=t.captcha.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
00:59:51 INF [TCP] connected lAddr=127.0.0.1:55676 rAddr=q.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
00:59:51 INF [TCP] connected lAddr=127.0.0.1:55690 rAddr=passwordsleakcheck-pa.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=节点选择[新加坡10]
01:00:12 INF [TCP] connected lAddr=127.0.0.1:42612 rAddr=q.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
01:00:12 INF [TCP] connected lAddr=127.0.0.1:42614 rAddr=bot.q.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
01:00:12 INF [TCP] connected lAddr=127.0.0.1:42630 rAddr=q.qlogo.cn:443 mode=rule rule=DomainSuffix(cn) proxy=DIRECT
01:00:12 INF [TCP] connected lAddr=127.0.0.1:42600 rAddr=tdesign.gtimg.com:443 mode=rule rule=DomainSuffix(gtimg.com) proxy=DIRECT
01:00:12 INF [TCP] connected lAddr=127.0.0.1:42636 rAddr=ocsp.digicert.cn:80 mode=rule rule=DomainSuffix(cn) proxy=DIRECT
01:00:12 INF [TCP] connected lAddr=127.0.0.1:42662 rAddr=ocsp2.globalsign.com:80 mode=rule rule=DomainSuffix(globalsign.com) proxy=节点选择[新加坡10]
01:00:13 INF [TCP] connected lAddr=127.0.0.1:42646 rAddr=bot-resource-1251316161.file.myqcloud.com:443 mode=rule rule=Match() proxy=节点选择[新加坡10]
01:00:13 INF [TCP] connected lAddr=127.0.0.1:42664 rAddr=bot.q.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
01:00:14 INF [TCP] connected lAddr=127.0.0.1:42680 rAddr=ocsp.usertrust.com:80 mode=rule rule=Domain(ocsp.usertrust.com) proxy=节点选择[新加坡10]
01:00:15 INF [TCP] connected lAddr=127.0.0.1:42684 rAddr=ocsp.trust-provider.cn:80 mode=rule rule=DomainSuffix(cn) proxy=DIRECT
01:00:20 INF [TCP] connected lAddr=127.0.0.1:49988 rAddr=q.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
01:00:20 INF [TCP] connected lAddr=127.0.0.1:49992 rAddr=q.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
